Id,name,名称,sub_tech,tactic,url
T1553,Subvert Trust Controls,颠覆信任控制,"T1553.001,T1553.002,T1553.003,T1553.004",Defense Evasion,https://attack.mitre.org/techniques/TT1553/
T1555,Credentials from Password Stores,来自密码存储的凭据,"T1555.001,T1555.002,T1555.003",Credential Access,https://attack.mitre.org/techniques/TT1555/
T1552,Unsecured Credentials,不安全的凭据,"T1552.001,T1552.002,T1552.003,T1552.004,T1552.005,T1552.006",Credential Access,https://attack.mitre.org/techniques/TT1552/
T1550,Use Alternate Authentication Material,使用替代认证材料,"T1550.001,T1550.002,T1550.003,T1550.004","Defense Evasion,                                                    Lateral Movement",https://attack.mitre.org/techniques/TT1550/
T1547,Boot or Logon Autostart Execution,启动或登录自动启动执行,"T1547.001,T1547.002,T1547.003,T1547.004,T1547.005,T1547.006,T1547.007,T1547.008,T1547.009,T1547.010,T1547.011","Persistence,                                                    Privilege Escalation",https://attack.mitre.org/techniques/TT1547/
T1546,Event Triggered Execution,事件触发执行,"T1546.001,T1546.002,T1546.003,T1546.004,T1546.005,T1546.006,T1546.007,T1546.008,T1546.009,T1546.010,T1546.011,T1546.012,T1546.013,T1546.014,T1546.015","Privilege Escalation,                                                    Persistence",https://attack.mitre.org/techniques/TT1546/
T1543,Create or Modify System Process,创建或修改系统进程,"T1543.001,T1543.002,T1543.003,T1543.004","Persistence,                                                    Privilege Escalation",https://attack.mitre.org/techniques/TT1543/
T1544,Remote File Copy,远程文件复制,,Command And Control,https://attack.mitre.org/techniques/TT1544/
T1542,Pre-OS Boot,操作系统启动前,"T1542.001,T1542.002,T1542.003","Defense Evasion,                                                    Persistence",https://attack.mitre.org/techniques/TT1542/
T1548,Abuse Elevation Control Mechanism,滥用高程控制机制,"T1548.001,T1548.002,T1548.003,T1548.004","Privilege Escalation,                                                    Defense Evasion",https://attack.mitre.org/techniques/TT1548/
T1541,Foreground Persistence,前景持续性,APP-19,"Collection,                                                    Persistence",https://attack.mitre.org/techniques/TT1541/
T1540,Code Injection,代码注入,,"Persistence,                                                    Privilege Escalation,                                                    Defense Evasion",https://attack.mitre.org/techniques/TT1540/
T1539,Steal Web Session Cookie,窃取Web会话Cookie,,Credential Access,https://attack.mitre.org/techniques/TT1539/
T1538,Cloud Service Dashboard,云服务仪表板,,Discovery,https://attack.mitre.org/techniques/TT1538/
T1537,Transfer Data to Cloud Account,将数据传输到云帐户,,Exfiltration,https://attack.mitre.org/techniques/TT1537/
T1535,Unused/Unsupported Cloud Regions,未使用/不支持的云区域,,Defense Evasion,https://attack.mitre.org/techniques/TT1535/
T1533,Data from Local System,来自本地系统的数据,,Collection,https://attack.mitre.org/techniques/TT1533/
T1534,Internal Spearphishing,内部钓鱼,,Lateral Movement,https://attack.mitre.org/techniques/TT1534/
T1531,Account Access Removal,删除帐户访问权限,,Impact,https://attack.mitre.org/techniques/TT1531/
T1529,System Shutdown/Reboot,系统关闭/重新启动,,Impact,https://attack.mitre.org/techniques/TT1529/
T1528,Steal Application Access Token,窃取应用程序访问令牌,,Credential Access,https://attack.mitre.org/techniques/TT1528/
T1526,Cloud Service Discovery,云服务发现,,Discovery,https://attack.mitre.org/techniques/TT1526/
T1530,Data from Cloud Storage Object,来自云存储对象的数据,,Collection,https://attack.mitre.org/techniques/TT1530/
T1532,Data Encrypted,数据加密,,Exfiltration,https://attack.mitre.org/techniques/TT1532/
T1521,Standard Cryptographic Protocol,标准密码协议,,Command And Control,https://attack.mitre.org/techniques/TT1521/
T1525,Implant Container Image,植入容器图像,,Persistence,https://attack.mitre.org/techniques/TT1525/
T1523,Evade Analysis Environment,规避分析环境,,"Defense Evasion,                                                    Discovery",https://attack.mitre.org/techniques/TT1523/
T1520,Domain Generation Algorithms,域生成算法,,Command And Control,https://attack.mitre.org/techniques/TT1520/
T1518,Software Discovery,软件发现,T1518.001,Discovery,https://attack.mitre.org/techniques/TT1518/
T1517,Access Notifications,访问通知,,"Collection,                                                    Credential Access",https://attack.mitre.org/techniques/TT1517/
T1516,Input Injection,输入注入,,"Defense Evasion,                                                    Impact",https://attack.mitre.org/techniques/TT1516/
T1578.004,Modify Cloud Compute Infrastructure:?Revert Cloud Instance,修改云计算基础架构：？还原云实例,T1578,Defense Evasion,https://attack.mitre.org/techniques/TT1578.004/
T1512,Capture Camera,拍摄照相机,APP-19,Collection,https://attack.mitre.org/techniques/TT1512/
T1513,Screen Capture,屏幕截图,APP-40,Collection,https://attack.mitre.org/techniques/TT1513/
T1510,Clipboard Modification,剪贴板修改,,Impact,https://attack.mitre.org/techniques/TT1510/
T1550.001,Use Alternate Authentication Material:?Application Access Token,使用替代验证材料：？应用程序访问令牌,T1550,"Defense Evasion,                                                    Lateral Movement",https://attack.mitre.org/techniques/TT1550.001/
T1509,Uncommonly Used Port,未使用的端口,,Command And Control,https://attack.mitre.org/techniques/TT1509/
T1508,Suppress Application Icon,抑制应用程序图标,,Defense Evasion,https://attack.mitre.org/techniques/TT1508/
T1507,Network Information Discovery,网络信息发现,,Collection,https://attack.mitre.org/techniques/TT1507/
T1505,Server Software Component,服务器软件组件,"T1505.001,T1505.002,T1505.003",Persistence,https://attack.mitre.org/techniques/TT1505/
T1552.005,Unsecured Credentials:?Cloud Instance Metadata API,不安全的凭据：？云实例元数据API,T1552,Credential Access,https://attack.mitre.org/techniques/TT1552.005/
T1546.014,Event Triggered Execution:?Emond,触发执行事件：？埃蒙德,T1546,"Privilege Escalation,                                                    Persistence",https://attack.mitre.org/techniques/TT1546.014/
T1548.004,Abuse Elevation Control Mechanism:?Elevated Execution with Prompt,滥用升降控制机构：？使用提示提升执行,T1548,"Privilege Escalation,                                                    Defense Evasion",https://attack.mitre.org/techniques/TT1548.004/
T1498,Network Denial of Service,网络拒绝服务,"T1498.001,T1498.002",Impact,https://attack.mitre.org/techniques/TT1498/
T1499,Endpoint Denial of Service,端点拒绝服务,"T1499.001,T1499.002,T1499.003,T1499.004,CAPEC-227,,CAPEC-131,,CAPEC-130,,CAPEC-125",Impact,https://attack.mitre.org/techniques/TT1499/
T1495,Firmware Corruption,固件损坏,,Impact,https://attack.mitre.org/techniques/TT1495/
T1497,Virtualization/Sandbox Evasion,虚拟化/沙盒规避,"T1497.001,T1497.002,T1497.003","Defense Evasion,                                                    Discovery",https://attack.mitre.org/techniques/TT1497/
T1496,Resource Hijacking,资源劫持,,Impact,https://attack.mitre.org/techniques/TT1496/
T1550.004,Use Alternate Authentication Material:?Web Session Cookie,使用替代认证材料：？Web会话Cookie,T1550,"Defense Evasion,                                                    Lateral Movement",https://attack.mitre.org/techniques/TT1550.004/
T1546.013,Event Triggered Execution:?PowerShell Profile,触发执行事件：？PowerShell配置文件,T1546,"Privilege Escalation,                                                    Persistence",https://attack.mitre.org/techniques/TT1546.013/
T1490,Inhibit System Recovery,抑制系统恢复,,Impact,https://attack.mitre.org/techniques/TT1490/
T1489,Service Stop,服务停止,,Impact,https://attack.mitre.org/techniques/TT1489/
T1491,Defacement,污损,"T1491.001,T1491.002",Impact,https://attack.mitre.org/techniques/TT1491/
T1486,Data Encrypted for Impact,加密数据以防影响,,Impact,https://attack.mitre.org/techniques/TT1486/
T1485,Data Destruction,数据销毁,,Impact,https://attack.mitre.org/techniques/TT1485/
T1027.004,Obfuscated Files or Information:?Compile After Delivery,混淆的文件或信息：？交付后编译,T1027,Defense Evasion,https://attack.mitre.org/techniques/TT1027.004/
T1134.004,Access Token Manipulation:?Parent PID Spoofing,访问令牌操作：？父PID欺骗,T1134,"Defense Evasion,                                                    Privilege Escalation",https://attack.mitre.org/techniques/TT1134.004/
T1484,Group Policy Modification,集团政策修改,,"Defense Evasion,                                                    Privilege Escalation",https://attack.mitre.org/techniques/TT1484/
T1555.003,Credentials from Password Stores:?Credentials from Web Browsers,来自密码存储的凭据：？来自Web浏览器的凭据,T1555,Credential Access,https://attack.mitre.org/techniques/TT1555.003/
T1565.003,Data Manipulation:?Runtime Data Manipulation,数据操作：？运行时数据操作,T1565,Impact,https://attack.mitre.org/techniques/TT1565.003/
T1543.002,Create or Modify System Process:?Systemd Service,创建或修改系统进程：？系统服务,T1543,"Persistence,                                                    Privilege Escalation",https://attack.mitre.org/techniques/TT1543.002/
T1565.002,Data Manipulation:?Transmitted Data Manipulation,数据操作：？传输数据操作,T1565,Impact,https://attack.mitre.org/techniques/TT1565.002/
T1480,Execution Guardrails,执行护栏,T1480.001,Defense Evasion,https://attack.mitre.org/techniques/TT1480/
T1478,Install Insecure or Malicious Configuration,安装不安全或恶意配置,STA-7,"Defense Evasion,                                                    Initial Access",https://attack.mitre.org/techniques/TT1478/
T1482,Domain Trust Discovery,域信任发现,,Discovery,https://attack.mitre.org/techniques/TT1482/
T1477,Exploit via Radio Interfaces,通过无线电接口进行攻击,,Initial Access,https://attack.mitre.org/techniques/TT1477/
T1565.001,Data Manipulation:?Stored Data Manipulation,数据操作：？存储数据操作,T1565,Impact,https://attack.mitre.org/techniques/TT1565.001/
T1481,Web Service,Web服务,,Command And Control,https://attack.mitre.org/techniques/TT1481/
T1476,Deliver Malicious App via Other Means,通过其他方式传递恶意应用,"AUT-9,,ECO-13,,ECO-21",Initial Access,https://attack.mitre.org/techniques/TT1476/
T1561.001,Disk Wipe:?Disk Content Wipe,磁盘擦除：？磁盘内容擦除,T1561,Impact,https://attack.mitre.org/techniques/TT1561.001/
T1561.002,Disk Wipe:?Disk Structure Wipe,磁盘擦除：？磁盘结构擦除,T1561,Impact,https://attack.mitre.org/techniques/TT1561.002/
T1471,Data Encrypted for Impact,数据加密以防影响,APP-28,Impact,https://attack.mitre.org/techniques/TT1471/
T1470,Obtain Device Cloud Backups,获取设备云备份,"ECO-0,,ECO-1",Remote Service Effects,https://attack.mitre.org/techniques/TT1470/
T1469,Remotely Wipe Data Without Authorization,未经授权远程擦除数据,"ECO-5,,EMM-7",Remote Service Effects,https://attack.mitre.org/techniques/TT1469/
T1474,Supply Chain Compromise,供应链妥协,APP-6,Initial Access,https://attack.mitre.org/techniques/TT1474/
T1475,Deliver Malicious App via Authorized App Store,通过授权应用商店发布恶意应用,"ECO-4,,ECO-16,,ECO-17,,APP-20,,APP-21,,ECO-22",Initial Access,https://attack.mitre.org/techniques/TT1475/
T1472,Generate Fraudulent Advertising Revenue,产生虚假广告收入,,Impact,https://attack.mitre.org/techniques/TT1472/
T1468,Remotely Track Device Without Authorization,未经授权远程跟踪设备,"ECO-5,,EMM-7",Remote Service Effects,https://attack.mitre.org/techniques/TT1468/
T1467,Rogue Cellular Base Station,流氓蜂窝基站,CEL-7,Network Effects,https://attack.mitre.org/techniques/TT1467/
T1465,Rogue Wi-Fi Access Points,恶意Wi-Fi接入点,LPN-0,Network Effects,https://attack.mitre.org/techniques/TT1465/
T1464,Jamming or Denial of Service,干扰或拒绝服务,"CEL-7,,CEL-8,,LPN-5,,GPS-0",Network Effects,https://attack.mitre.org/techniques/TT1464/
T1463,Manipulate Device Communication,操纵设备通信,APP-1,Network Effects,https://attack.mitre.org/techniques/TT1463/
T1466,Downgrade to Insecure Protocols,降级为不安全协议,CEL-3,Network Effects,https://attack.mitre.org/techniques/TT1466/
T1568.002,Dynamic Resolution:?Domain Generation Algorithms,动态分辨率：？域生成算法,T1568,Command And Control,https://attack.mitre.org/techniques/TT1568.002/
T1461,Lockscreen Bypass,锁定屏旁路,,Initial Access,https://attack.mitre.org/techniques/TT1461/
T1456,Drive-by Compromise,妥协驱动,CEL-22,Initial Access,https://attack.mitre.org/techniques/TT1456/
T1458,Exploit via Charging Station or PC,通过充电站或PC进行攻击,PHY-1,Initial Access,https://attack.mitre.org/techniques/TT1458/
T1451,SIM Card Swap,SIM卡交换,STA-22,Network Effects,https://attack.mitre.org/techniques/TT1451/
T1450,Exploit SS7 to Track Device Location,利用SS7跟踪设备位置,CEL-38,Network Effects,https://attack.mitre.org/techniques/TT1450/
T1452,Manipulate App Store Rankings or Ratings,操纵应用商店排名或评级,,Impact,https://attack.mitre.org/techniques/TT1452/
T1449,Exploit SS7 to Redirect Phone Calls/SMS,利用SS7重定向电话/短信,CEL-37,Network Effects,https://attack.mitre.org/techniques/TT1449/
T1448,Carrier Billing Fraud,运营商账单欺诈,,Impact,https://attack.mitre.org/techniques/TT1448/
T1447,Delete Device Data,删除设备数据,,Impact,https://attack.mitre.org/techniques/TT1447/
T1446,Device Lockout,设备锁定,APP-28,"Impact,                                                    Defense Evasion",https://attack.mitre.org/techniques/TT1446/
T1444,Masquerade as Legitimate Application,冒充合法申请,"APP-31,,APP-14","Initial Access,                                                    Defense Evasion",https://attack.mitre.org/techniques/TT1444/
T1439,Eavesdrop on Insecure Network Communication,不安全网络通信窃听,"APP-0,,APP-1",Network Effects,https://attack.mitre.org/techniques/TT1439/
T1438,Alternate Network Mediums,备用网络介质,APP-30,"Command And Control,                                                    Exfiltration",https://attack.mitre.org/techniques/TT1438/
T1437,Standard Application Layer Protocol,标准应用层协议,APP-29,"Command And Control,                                                    Exfiltration",https://attack.mitre.org/techniques/TT1437/
T1435,Access Calendar Entries,访问日历条目,APP-13,Collection,https://attack.mitre.org/techniques/TT1435/
T1436,Commonly Used Port,常用端口,,"Command And Control,                                                    Exfiltration",https://attack.mitre.org/techniques/TT1436/
T1433,Access Call Log,访问通话记录,APP-13,Collection,https://attack.mitre.org/techniques/TT1433/
T1430,Location Tracking,位置跟踪,APP-24,"Collection,                                                    Discovery",https://attack.mitre.org/techniques/TT1430/
T1432,Access Contact List,访问联系人列表,APP-13,Collection,https://attack.mitre.org/techniques/TT1432/
T1428,Exploit Enterprise Resources,开发企业资源,APP-32,Lateral Movement,https://attack.mitre.org/techniques/TT1428/
T1427,Attack PC via USB Connection,通过USB连接攻击PC,PHY-2,Lateral Movement,https://attack.mitre.org/techniques/TT1427/
T1423,Network Service Scanning,网络服务扫描,,Discovery,https://attack.mitre.org/techniques/TT1423/
T1422,System Network Configuration Discovery,系统网络配置发现,,Discovery,https://attack.mitre.org/techniques/TT1422/
T1424,Process Discovery,过程发现,,Discovery,https://attack.mitre.org/techniques/TT1424/
T1429,Capture Audio,捕获音频,APP-19,Collection,https://attack.mitre.org/techniques/TT1429/
T1426,System Information Discovery,系统信息发现,,Discovery,https://attack.mitre.org/techniques/TT1426/
T1421,System Network Connections Discovery,系统网络连接发现,,Discovery,https://attack.mitre.org/techniques/TT1421/
T1418,Application Discovery,应用程序发现,,"Defense Evasion,                                                    Discovery",https://attack.mitre.org/techniques/TT1418/
T1420,File and Directory Discovery,文件和目录发现,,Discovery,https://attack.mitre.org/techniques/TT1420/
T1416,Android Intent Hijacking,Android意图劫持,,Credential Access,https://attack.mitre.org/techniques/TT1416/
T1417,Input Capture,输入捕获,,"Collection,                                                    Credential Access",https://attack.mitre.org/techniques/TT1417/
T1415,URL Scheme Hijacking,URL方案劫持,AUT-10,Credential Access,https://attack.mitre.org/techniques/TT1415/
T1414,Capture Clipboard Data,捕获剪贴板数据,APP-35,"Collection,                                                    Credential Access",https://attack.mitre.org/techniques/TT1414/
T1412,Capture SMS Messages,捕获短信,,"Collection,                                                    Credential Access",https://attack.mitre.org/techniques/TT1412/
T1411,Input Prompt,输入提示,APP-31,Credential Access,https://attack.mitre.org/techniques/TT1411/
T1413,Access Sensitive Data in Device Logs,访问设备日志中的敏感数据,"APP-3,,APP-13","Collection,                                                    Credential Access",https://attack.mitre.org/techniques/TT1413/
T1410,Network Traffic Capture or Redirection,网络流量捕获或重定向,,"Collection,                                                    Credential Access",https://attack.mitre.org/techniques/TT1410/
T1409,Access Stored Application Data,访问存储的应用程序数据,AUT-0,"Collection,                                                    Credential Access",https://attack.mitre.org/techniques/TT1409/
T1408,Disguise Root/Jailbreak Indicators,伪装根/越狱指示器,EMM-5,Defense Evasion,https://attack.mitre.org/techniques/TT1408/
T1407,Download New Code at Runtime,在运行时下载新代码,APP-20,Defense Evasion,https://attack.mitre.org/techniques/TT1407/
T1406,Obfuscated Files or Information,混淆的文件或信息,APP-21,Defense Evasion,https://attack.mitre.org/techniques/TT1406/
T1401,Abuse Device Administrator Access to Prevent Removal,滥用设备管理员访问权限以防止删除,APP-22,Persistence,https://attack.mitre.org/techniques/TT1401/
T1404,Exploit OS Vulnerability,利用操作系统漏洞,APP-26,Privilege Escalation,https://attack.mitre.org/techniques/TT1404/
T1402,Broadcast Receivers,广播接收机,,"Persistence,                                                    Execution",https://attack.mitre.org/techniques/TT1402/
T1405,Exploit TEE Vulnerability,利用TEE漏洞,APP-27,"Credential Access,                                                    Privilege Escalation",https://attack.mitre.org/techniques/TT1405/
T1400,Modify System Partition,修改系统分区,APP-27,"Defense Evasion,                                                    Persistence,                                                    Impact",https://attack.mitre.org/techniques/TT1400/
T1403,Modify Cached Executable Code,修改缓存的可执行代码,,Persistence,https://attack.mitre.org/techniques/TT1403/
T1397,Spearphishing for Information,钓鱼式钓鱼获取信息,,Technical Information Gathering,https://attack.mitre.org/techniques/TT1397/
T1398,Modify OS Kernel or Boot Partition,修改操作系统内核或引导分区,"APP-26,,APP-27","Defense Evasion,                                                    Persistence",https://attack.mitre.org/techniques/TT1398/
T1399,Modify Trusted Execution Environment,修改可信执行环境,APP-27,"Defense Evasion,                                                    Persistence",https://attack.mitre.org/techniques/TT1399/
T1396,Obtain booter/stressor subscription,获得启动/压力源订阅,,Establish & Maintain Infrastructure,https://attack.mitre.org/techniques/TT1396/
T1394,Distribute malicious software development tools,分发恶意软件开发工具,,Stage Capabilities,https://attack.mitre.org/techniques/TT1394/
T1393,Test ability to evade automated mobile application security analysis performed by app stores,测试规避应用商店执行的自动移动应用程序安全分析的能力,,Test Capabilities,https://attack.mitre.org/techniques/TT1393/
T1389,Identify vulnerabilities in third-party software libraries,识别第三方软件库中的漏洞,,Technical Weakness Identification,https://attack.mitre.org/techniques/TT1389/
T1391,Choose pre-compromised mobile app developer account credentials or signing keys,选择预泄露的移动应用程序开发人员帐户凭据或签名密钥,,Persona Development,https://attack.mitre.org/techniques/TT1391/
T1390,OS-vendor provided communication channels,OS供应商提供的通信通道,,Adversary Opsec,https://attack.mitre.org/techniques/TT1390/
T1392,Obtain Apple iOS enterprise distribution key pair and certificate,获取Apple iOS企业分发密钥对和证书,,Persona Development,https://attack.mitre.org/techniques/TT1392/
T1379,Disseminate removable media,传播可移动媒体,,Stage Capabilities,https://attack.mitre.org/techniques/TT1379/
T1364,Friend/Follow/Connect to targets of interest,朋友/关注/联系感兴趣的目标,,Stage Capabilities,https://attack.mitre.org/techniques/TT1364/
T1365,Hardware or software supply chain implant,硬件或软件供应链植入,,Stage Capabilities,https://attack.mitre.org/techniques/TT1365/
T1363,Port redirector,端口重定向器,,Stage Capabilities,https://attack.mitre.org/techniques/TT1363/
T1361,Test signature detection for file upload/email filters,测试文件上传/电子邮件过滤器的签名检测,,Test Capabilities,https://attack.mitre.org/techniques/TT1361/
T1362,"Upload, install, and configure software/tools",上载、安装和配置软件/工具,,Stage Capabilities,https://attack.mitre.org/techniques/TT1362/
T1358,Review logs and residual traces,查看日志和残余痕迹,,Test Capabilities,https://attack.mitre.org/techniques/TT1358/
T1359,Test malware to evade detection,测试恶意软件以逃避检测,,Test Capabilities,https://attack.mitre.org/techniques/TT1359/
T1360,Test physical access,测试物理访问,,Test Capabilities,https://attack.mitre.org/techniques/TT1360/
T1357,Test malware in various execution environments,在各种执行环境中测试恶意软件,,Test Capabilities,https://attack.mitre.org/techniques/TT1357/
T1354,Compromise 3rd party or closed-source vulnerability/exploit information,危害第三方或封闭源漏洞/利用信息,,Build Capabilities,https://attack.mitre.org/techniques/TT1354/
T1353,Post compromise tool development,折衷后工具开发,,Build Capabilities,https://attack.mitre.org/techniques/TT1353/
T1352,C2 protocol development,C2协议开发,,Build Capabilities,https://attack.mitre.org/techniques/TT1352/
T1356,Test callback functionality,测试回调功能,,Test Capabilities,https://attack.mitre.org/techniques/TT1356/
T1355,Create infected removable media,创建受感染的可移动媒体,,Build Capabilities,https://attack.mitre.org/techniques/TT1355/
T1351,Remote access tool development,远程访问工具开发,,Build Capabilities,https://attack.mitre.org/techniques/TT1351/
T1346,Obtain/re-use payloads,获取/重复使用有效载荷,,Build Capabilities,https://attack.mitre.org/techniques/TT1346/
T1347,Build and configure delivery systems,构建和配置交付系统,,Build Capabilities,https://attack.mitre.org/techniques/TT1347/
T1348,Identify resources required to build capabilities,确定构建能力所需的资源,,Build Capabilities,https://attack.mitre.org/techniques/TT1348/
T1349,Build or acquire exploits,建立或获取利用,,Build Capabilities,https://attack.mitre.org/techniques/TT1349/
T1350,Discover new exploits and monitor exploit-provider forums,发现新的漏洞攻击并监视漏洞提供程序论坛,,Build Capabilities,https://attack.mitre.org/techniques/TT1350/
T1343,Choose pre-compromised persona and affiliated accounts,选择预先受损的角色和关联帐户,,Persona Development,https://attack.mitre.org/techniques/TT1343/
T1345,Create custom payloads,创建自定义有效载荷,,Build Capabilities,https://attack.mitre.org/techniques/TT1345/
T1342,Develop social network persona digital footprint,发展社交网络人物数字足迹,,Persona Development,https://attack.mitre.org/techniques/TT1342/
T1344,Friend/Follow/Connect to targets of interest,朋友/关注/联系感兴趣的目标,,Persona Development,https://attack.mitre.org/techniques/TT1344/
T1341,Build social network persona,构建社交网络人物,,Persona Development,https://attack.mitre.org/techniques/TT1341/
T1340,Shadow DNS,阴影DNS,,Establish & Maintain Infrastructure,https://attack.mitre.org/techniques/TT1340/
T1339,Create backup infrastructure,创建备份基础架构,,Establish & Maintain Infrastructure,https://attack.mitre.org/techniques/TT1339/
T1337,SSL certificate acquisition for domain,域的SSL证书获取,,Establish & Maintain Infrastructure,https://attack.mitre.org/techniques/TT1337/
T1338,SSL certificate acquisition for trust breaking,信任破坏的SSL证书获取,,Establish & Maintain Infrastructure,https://attack.mitre.org/techniques/TT1338/
T1335,Procure required equipment and software,采购所需设备和软件,,Establish & Maintain Infrastructure,https://attack.mitre.org/techniques/TT1335/
T1331,Obfuscate infrastructure,混淆基础设施,,Establish & Maintain Infrastructure,https://attack.mitre.org/techniques/TT1331/
